1 ,2024-10-09-11:28:38, python
2 ,2024-10-09-11:37:16, ls
3 ,2024-10-09-11:38:48, mkdir[data]
4 ,2024-10-09-11:39:33, mkdir[code]
5 ,2024-10-09-11:40:09, ls
6 ,2024-10-09-11:40:47, cd[W02-Practice]
7 ,2024-10-09-11:41:00, pwd
8 ,2024-10-09-11:41:20, ls
9 ,2024-10-09-11:42:46, mkdir[W02-Practice]
10 ,2024-10-09-11:44:03, touch[code]
11 ,2024-10-09-11:44:17, mkdir [code]
12 ,2024-10-09-11:45:51, mv [code][W02-Practice]
13 ,2024-10-09-11:46:36, cd [W02-Practice]
14 ,2024-10-09-11:47:06, cd [
15 ,2024-10-09-11:47:23, cd [W02-Practice]
16 ,2024-10-09-14:00:44, history
17 ,2024-10-09-14:06:32, ls
18 ,2024-10-09-14:06:39, cd W02-Practice
19 ,2024-10-09-14:06:46, rm -r data
20 ,2024-10-09-14:06:48, ls
21 ,2024-10-09-14:06:59, mkdir data
22 ,2024-10-09-14:07:02, cd data
23 ,2024-10-09-14:07:05, mkdir code
24 ,2024-10-09-14:07:16, cd W02-Practice
25 ,2024-10-09-14:08:48, cd data
26 ,2024-10-09-14:09:42, cd ..
27 ,2024-10-09-14:09:52, cd
28 ,2024-10-09-14:10:26, cd W02-Practice
29 ,2024-10-09-14:10:48, print-history > ./data/bash_history.csv
